year;date;title;authors;n_authors;col_code;volume;start_page;end_page;base_url;filename
2005;2005-05-09;Bringing it all together;J. C. I. Dooge;1;bw;9;3;14;https://hess.copernicus.org/articles/9/3/2005/;hess-9-3-2005.pdf
2005;2005-06-09;Consumptive water use to feed humanity - curing a blind spot;M. Falkenmark and M. Lannerstad;2;0;9;15;28;https://hess.copernicus.org/articles/9/15/2005/;hess-9-15-2005.pdf
2005;2005-06-09;Significance of spatial variability in precipitation for process-oriented modelling: results from two nested catchments using radar and ground station data;D. Tetzlaff and S. Uhlenbrook;2;bw;9;29;41;https://hess.copernicus.org/articles/9/29/2005/;hess-9-29-2005.pdf
2005;2005-06-14;Impact of phosphorus control measures on in-river phosphorus retention associated with point source pollution;B. O. L. Demars, D. M. Harper, J.-A. Pitt, and R. Slaughter;4;bw;9;43;55;https://hess.copernicus.org/articles/9/43/2005/;hess-9-43-2005.pdf
2005;2005-06-14;Biogeochemistry of the Kem' River estuary, White Sea (Russia);V. R. Shevchenko, Y. S. Dolotov, N. N. Filatov, T. N. Alexeeva, A. S. Filippov, E.-M. Nöthig, A. N. Novigatsky, L. A. Pautova, A. V. Platonov, N. V. Politova, T. N. Rat'kova, and R. Stein;12;bw;9;57;66;https://hess.copernicus.org/articles/9/57/2005/;hess-9-57-2005.pdf
2005;2005-06-14;Factors influencing fluffy layer suspended matter (FLSM) properties in the Odra River - Pomeranian Bay - Arkona Deep System (Baltic Sea) as derived by principal components analysis (PCA), and cluster analysis (CA);J. Pempkowiak, J. Beldowski, K. Pazdro, A. Staniszewski, A. Zaborska, T. Leipe, and K. Emeis;7;0;9;67;80;https://hess.copernicus.org/articles/9/67/2005/;hess-9-67-2005.pdf
2005;2005-06-16;Faecal sterols as indicators of sewage contamination in estuarine sediments of the Tay Estuary, Scotland: an extended baseline survey;A. D. Reeves and D. Patton;2;bw;9;81;94;https://hess.copernicus.org/articles/9/81/2005/;hess-9-81-2005.pdf
2005;2005-07-05;A conceptual glacio-hydrological model for high mountainous catchments;B. Schaefli, B. Hingray, M. Niggli, and A. Musy;4;bw;9;95;109;https://hess.copernicus.org/articles/9/95/2005/;hess-9-95-2005.pdf
2005;2005-07-05;Constraints of artificial neural networks for rainfall-runoff modelling: trade-offs in hydrological state representation and model evaluation;N. J. de Vos and T. H. M. Rientjes;2;0;9;111;126;https://hess.copernicus.org/articles/9/111/2005/;hess-9-111-2005.pdf
2005;2005-07-22;Empirical Mode Decomposition in 2-D space and time: a tool for space-time rainfall analysis and nowcasting;S. Sinclair and G. G. S. Pegram;2;2;9;127;137;https://hess.copernicus.org/articles/9/127/2005/;hess-9-127-2005.pdf
2005;2005-07-22;Using stable isotope tracers to assess hydrological flow paths, residence times and landscape influences in a nested mesoscale catchment;P. Rodgers, C. Soulsby, S. Waldron, and D. Tetzlaff;4;bw;9;139;155;https://hess.copernicus.org/articles/9/139/2005/;hess-9-139-2005.pdf
2005;2005-08-09;A comparison of regionalisation methods for catchment model parameters;J. Parajka, R. Merz, and G. Blöschl;3;2;9;157;171;https://hess.copernicus.org/articles/9/157/2005/;hess-9-157-2005.pdf
2005;2005-08-16;Soil moisture-runoff relation at the catchment scale as observed with coarse resolution microwave remote sensing;K. Scipal, C. Scheffler, and W. Wagner;3;bw;9;173;183;https://hess.copernicus.org/articles/9/173/2005/;hess-9-173-2005.pdf
2005;2005-09-14;Chemical characterization of fog and rain water collected at the eastern Andes cordillera;E. Beiderwieden, T. Wrzesinsky, and O. Klemm;3;0;9;185;191;https://hess.copernicus.org/articles/9/185/2005/;hess-9-185-2005.pdf
2005;2005-09-14;Variability in stream discharge and temperature: a preliminary assessment of the implications for juvenile and spawning Atlantic salmon;D. Tetzlaff, C. Soulsby, A. F. Youngson, C. Gibbins, P. J. Bacon, I. A. Malcolm, and S. Langan;7;bw;9;193;208;https://hess.copernicus.org/articles/9/193/2005/;hess-9-193-2005.pdf
2005;2005-09-20;Using a spatio-temporal dynamic state-space model with the EM algorithm to patch gaps in daily riverflow series;B. A. Amisigo and N. C. van de Giesen;2;bw;9;209;224;https://hess.copernicus.org/articles/9/209/2005/;hess-9-209-2005.pdf
2005;2005-09-21;Comparative analysis of the actual evapotranspiration of Flemish forest and cropland, using the soil water balance model WAVE;W. W. Verstraeten, B. Muys, J. Feyen, F. Veroustraete, M. Minnaert, L. Meiresonne, and A. De Schrijver;7;bw;9;225;241;https://hess.copernicus.org/articles/9/225/2005/;hess-9-225-2005.pdf
2005;2005-09-21;Rainfall-runoff modelling in a catchment with a complex groundwater flow system: application of the Representative Elementary Watershed (REW) approach;G. P. Zhang and H. H. G. Savenije;2;0;9;243;261;https://hess.copernicus.org/articles/9/243/2005/;hess-9-243-2005.pdf
2005;2005-09-26;Hydroclimatology of the Nile: results from a regional climate model;Y. A. Mohamed, B. J. J. M. van den Hurk, H. H. G. Savenije, and W. G. M. Bastiaanssen;4;0;9;263;278;https://hess.copernicus.org/articles/9/263/2005/;hess-9-263-2005.pdf
2005;2005-10-07;Recent advances in flood forecasting and flood risk assessment;G. Arduino, P. Reggiani, and E. Todini;3;0;9;280;284;https://hess.copernicus.org/articles/9/280/2005/;hess-9-280-2005.pdf
2005;2005-10-07;Orographic effects on convective precipitation and space-time rainfall variability: preliminary results;P. Bongioannini Cerlini, K. A. Emanuel, and E. Todini;3;2;9;285;299;https://hess.copernicus.org/articles/9/285/2005/;hess-9-285-2005.pdf
2005;2005-10-07;Limited-area short-range ensemble predictions targeted for heavy rain in Europe;K. Sattler and H. Feddersen;2;0;9;300;312;https://hess.copernicus.org/articles/9/300/2005/;hess-9-300-2005.pdf
2005;2005-10-07;Simulation of flood flow in a river system using artificial neural networks;R. R. Shrestha, S. Theobald, and F. Nestmann;3;0;9;313;321;https://hess.copernicus.org/articles/9/313/2005/;hess-9-313-2005.pdf
2005;2005-10-07;Precipitation forecasts and their uncertainty as input into hydrological models;M. Kobold and K. Sušelj;2;2;9;322;332;https://hess.copernicus.org/articles/9/322/2005/;hess-9-322-2005.pdf
2005;2005-10-07;Coupling meteorological and hydrological models for flood forecasting;Bartholmes and Todini;2;0;9;333;346;https://hess.copernicus.org/articles/9/333/2005/;hess-9-333-2005.pdf
